0,0,10,100.283
1,0,2,100.005
3,0,7,100.07
1,1,2,30.293
2,1,3,30.297
2,2,3,20.333
1,3,2,70.0
3,3,7,70.127
0,0,1,20.0
1,1,7,80.177
4,1,7,80.098
9,1,9,80.0
3,5,3,30.0
7,6,8,80.125
8,7,10,90.088
3,8,3,30.0
3,9,3,20.0
11,10,6,70.0
12,11,2,20.0
13,12,8,80.0
3,13,3,40.0
3,14,3,110.0
3,15,3,20.0
21,15,2,20.0
3,16,3,40.0
2,17,7,60.0
22,19,4,40.0
23,20,3,10.0
24,22,1,30.0
25,24,5,90.0
26,24,3,90.0
27,24,4,90.0
3,25,3,20.0
15,25,3,20.0
0,26,1,40.0
30,26,4,40.0
3,27,3,30.0
31,27,4,30.0
23,31,3,80.0
3,32,3,50.0
1,0,2,50.0
6,3,3,60.143
11,3,2,60.0
6,5,3,20.0
6,7,3,50.0
18,14,6,60.0
19,14,2,60.0
25,22,7,120.0
26,22,9,120.0
6,5,4,40.0
9,5,3,40.0
18,6,4,150.0
19,6,7,150.0
4,8,6,50.0
0,9,3,40.0
5,10,2,40.0
9,10,3,40.0
1,0,3,20.39
3,1,1,30.0
5,1,4,30.0
6,1,2,30.0
5,3,4,50.167
6,3,2,50.0
1,10,3,10.0
15,10,2,10.0
9,12,6,60.0
11,12,7,60.0
10,13,1,60.0
11,13,7,60.0
0,14,2,20.0
1,14,3,20.0
1,16,3,50.0
6,16,2,50.0
1,17,3,30.0
6,17,2,30.0
20,18,6,130.0
24,21,7,120.0
1,25,3,30.0
26,26,12,40.0
31,32,6,80.0
34,34,7,130.0
1,38,3,40.0
39,38,5,40.0
6,7,1,70.0
7,7,7,70.125
0,2,3,50.115
0,0,5,70.108
1,2,9,100.097
2,6,2,50.0
3,6,1,50.0
4,6,5,50.0
6,8,5,40.0
0,1,3,40.252
1,1,4,40.579
5,2,3,30.0
5,5,3,60.0
11,5,4,60.0
10,8,5,20.0
5,9,3,40.0
15,9,2,40.0
21,11,3,30.0
22,11,5,30.0
21,12,3,50.0
22,12,5,50.0
3,15,5,120.0
6,15,5,120.0
8,15,10,120.0
16,15,4,120.0
17,15,10,120.0
19,15,8,120.0
12,17,4,140.0
3,3,6,60.267
5,5,4,40.0
22,6,3,60.0
15,11,3,80.0
11,14,2,40.0
12,16,5,110.0
21,19,1,40.0
22,19,3,40.0
23,20,6,70.0
24,21,3,70.0
2,24,3,60.0
1,26,2,30.0
2,26,3,30.0
0,0,5,30.188
11,7,6,50.0
13,9,3,90.0
8,10,2,30.0
7,12,9,90.0
10,16,1,60.0
25,30,5,70.0
13,41,3,40.0
47,42,4,70.0
8,47,2,40.0
35,47,2,40.0
8,48,2,20.0
13,48,3,20.0
48,52,9,90.0
49,53,9,80.0
43,55,8,90.0
8,57,2,30.0
13,57,3,30.0
44,58,14,100.0
8,60,2,50.0
0,0,3,20.61
1,1,2,80.0
2,2,5,50.456
3,4,1,40.0
6,8,10,100.095
0,0,2,30.021
1,0,3,30.182
10,5,3,40.0
1,8,3,60.0
3,2,4,20.0
1,6,5,30.0
2,6,4,30.0
5,6,5,30.0
7,6,3,30.0
8,6,10,30.0
9,6,15,30.0
6,9,4,90.0
1,14,5,160.0
2,14,4,160.0
4,14,6,160.0
5,14,5,160.0
6,14,4,160.0
7,14,3,160.0
8,14,10,160.0
9,14,15,160.078
0,0,2,40.153
1,1,8,50.211
9,7,2,90.0
10,7,8,90.0
17,16,5,70.0
6,17,4,30.0
2,1,6,70.179
0,5,3,90.0
4,8,11,100.07
6,8,10,100.095
0,11,3,40.0
28,11,3,40.0
0,14,3,50.0
18,22,1,10.0
22,29,2,50.0
0,33,3,30.0
0,41,3,60.0
3,0,4,30.25
5,2,2,60.0
6,3,4,80.081
7,5,7,70.125
9,8,9,80.0
11,10,8,90.0
12,11,9,110.0
21,0,2,40.0
3,2,3,60.2
8,3,2,20.0
4,8,9,130.041
3,11,3,170.0
15,11,6,170.0
4,12,9,140.0
20,16,8,80.0
11,21,5,90.0
1,3,4,60.059
2,3,2,60.0
3,4,4,50.167
6,9,3,30.0
8,11,2,100.0
19,17,3,40.0
4,19,7,250.0
4,25,7,100.0
0,26,1,30.0
3,4,3,60.0
3,8,3,90.0
19,12,2,70.0
1,20,2,50.0
19,3,13,60.0
11,4,3,40.0
7,6,5,60.0
5,15,4,40.0
3,16,4,50.0
10,16,2,50.0
11,16,3,50.0
3,17,4,30.0
32,22,5,50.0
33,25,2,20.0
4,1,2,80.0
1,6,5,50.0
2,6,4,50.0
3,6,3,50.0
5,6,5,50.0
5,6,6,60.143
12,12,7,20.0
16,18,4,50.0
17,18,6,50.0
18,20,6,110.0
1,21,3,50.0
3,21,2,50.0
2,2,5,30.486
3,4,3,60.0
51,10,2,100.0
8,20,3,30.0
8,28,3,50.0
56,35,5,50.0
54,36,3,50.0
67,45,9,120.0
15,46,2,60.0
8,48,3,80.0
8,53,3,90.0
8,60,3,60.0
22,60,5,60.0
8,61,3,80.0
17,61,8,80.0
26,62,9,110.0
6,0,3,90.0
0,3,4,100.213
2,9,3,150.0
4,9,10,150.054
7,9,10,150.047
11,9,6,150.0
12,9,6,150.0
0,0,5,90.076
1,0,3,90.0
0,1,5,40.12
1,1,3,40.25
3,3,5,50.53
5,3,5,50.167
7,3,2,50.0
8,3,6,50.0
2,1,2,40.002
7,13,3,60.0
12,13,6,60.0
7,15,3,100.0
11,7,4,50.0
12,7,2,50.0
13,10,5,70.0
14,14,4,40.0
7,2,3,80.0
12,3,7,40.0
15,6,6,70.0
18,7,3,30.0
5,9,9,130.071
6,9,7,130.0
17,9,9,130.0
22,11,5,90.0
20,13,4,70.0
25,17,6,70.0
34,19,5,50.0
27,21,6,70.0
28,21,2,70.0
4,22,2,30.0
30,23,11,100.0
29,26,13,60.0
2,0,2,30.354
1,2,7,60.131
6,9,6,110.0
11,10,7,50.0
3,17,2,40.0
0,0,2,20.541
4,9,4,70.0
11,10,11,100.0
15,14,6,70.0
16,14,3,70.0
17,16,4,70.0
18,17,7,80.0
16,18,3,110.0
17,19,4,50.0
23,19,4,50.0
36,33,5,80.0
42,38,7,120.0
44,38,8,120.0
0,43,2,30.0
24,56,4,50.0
0,0,5,40.732
3,2,3,60.2
5,2,2,60.0
4,4,5,50.586
8,8,10,90.126
17,17,3,60.0
23,26,7,100.0
44,27,5,60.0
30,29,4,130.0
31,29,9,130.0
32,30,5,60.0
3,31,3,60.0
38,35,8,90.0
1,0,3,70.0
